id,name,category,group,unit,usedIn_EAP,usedIn_Demand,usedIn_Supply,usedIn_NeedAssist,provider,tags,layerCount,layerNames,createdAt,dataLastUpdated,updatedAt,description
demand-population,Population,Demographics,Demand,People/km²,True,True,,,,"population, geospatial",,,,,,Population density as a proxy for demand concentration.
demand-poverty,Poverty,Demographics,Demand,% of population below poverty line,True,True,,True,,"poverty, affordability",,,,,,Share of people below poverty line; affordability proxy (inverted in demand index).
demand-household-electrification,Household Electrification,Demographics,Demand,Percent of households electrified,True,True,,,,"electrification, access",,,,,,Household electricity access rate to reflect unmet demand.
demand-mobile-phone-ownership,Mobile Phone Ownership,Demographics,Demand,Ownership rate,True,True,,,,"mobile, ownership, proxy",,,,,,Proxy for ability to pay and service needs; also relevant for PAYG models.
demand-radio-ownership,Radio Ownership,Demographics,Demand,Ownership rate,True,True,,,,"radio, ownership, proxy",,,,,,Proxy for asset ownership and electricity service demand.
demand-iron-sheet-roofing,Iron Sheet Roofing,Demographics,Demand,Share of households,True,True,,,,"roofing, asset proxy",,,,,,Asset proxy linked to income/ability to pay in certain geographies.
demand-livestock-ownership,Livestock Ownership,Demographics,Demand,Ownership rate,True,True,,,,"livestock, asset proxy",,,,,,Asset proxy; used as a filter when available at coarse resolution.
demand-education-facilities,Education Facilities,Social & Productive Uses,Demand,Distance to nearest facility (km),True,True,,True,,"schools, public services",,,,,,Proximity to schools; important social load and service demand.
demand-health-care-facilities,Health Care Facilities,Social & Productive Uses,Demand,Distance to nearest facility (km),True,True,,True,,"clinics, hospitals, public services",,,,,,Proximity to health facilities; critical social load and service demand.
demand-agricultural-zones,Agricultural Zones,Social & Productive Uses,Demand,Presence/extent,True,True,,,,"agriculture, productive use",,,,,,Areas of agricultural activity; proxy for productive demand potential.
demand-irrigated-croplands,Irrigated Croplands,Social & Productive Uses,Demand,Production (metric tons),True,True,,True,,"agriculture, irrigation",,,,,,"Irrigated crop production as a driver of electricity demand (e.g., pumping)."
demand-rain-fed-croplands,Rain-fed Croplands,Social & Productive Uses,Demand,Production (metric tons),True,True,,True,,agriculture,,,,,,Rain-fed crop production; indicates potential productive loads.
demand-mines-and-quarries,Mines and Quarries,Social & Productive Uses,Demand,Distance to nearest site (km),True,True,,True,,"mining, industry",,,,,,Proximity to mines/quarries; potential large loads off-grid or grid-based.
demand-commercial-activities-smes,Commercial Activities & SMEs,Social & Productive Uses,Demand,Presence/extent,True,True,,,,"commerce, SME",,,,,,Commercial and SME activity as a proxy for demand (from Figure 1).
demand-public-institutions,Public Institutions,Social & Productive Uses,Demand,Presence/extent,True,True,,,,public institutions,,,,,,Institutional demand centers (from Figure 1).
demand-nighttime-lights,Nighttime Lights,Social & Productive Uses,Demand,Calibrated radiance (0–255),True,True,,True,,"NTL, remote sensing",,,,,,Proxy for existing electricity use and socioeconomic activity.
supply-solar-potential-ghi,Solar Potential (GHI),Resources,Supply,kWh/m² (yearly sum of GHI),True,,True,,,"solar, GHI",,,,,,Global Horizontal Irradiance indicating solar PV potential.
supply-wind-potential-wind-speed,Wind Potential (Wind Speed),Resources,Supply,m/s at 50 m,True,,True,,,wind,,,,,,Wind speed as a proxy for wind power potential.
supply-geothermal-potential-locations,Geothermal Potential (Locations),Resources,Supply,Distance to potential site (km),True,,True,,,geothermal,,,,,,Proximity to potential geothermal sites.
supply-mini-small-hydropower-potential-locations,Mini & Small Hydropower Potential (Locations),Resources,Supply,Distance to potential site (km),True,,True,,,"hydropower, mini-hydro",,,,,,Proximity to potential mini/small hydro sites.
supply-existing-transmission-distribution-network,Existing Transmission & Distribution Network,Infrastructure,Supply,Distance to nearest line (km),True,,True,True,,"grid, transmission, distribution",,,,,,Proximity to existing grid infrastructure; key for grid-extension viability.
supply-planned-transmission-distribution-network,Planned Transmission & Distribution Network,Infrastructure,Supply,Distance to nearest planned line (km),True,,True,True,,"grid planning, transmission, distribution",,,,,,Proximity to planned grid expansions; impacts future connectivity.
supply-mini-grids-existing,Mini-grids (Existing),Infrastructure,Supply,Distance to nearest mini-grid (km),True,,True,True,,"mini-grid, off-grid",,,,,,Proximity to existing mini-grids indicating current off-grid supply.
supply-power-plants,Power Plants,Infrastructure,Supply,Distance to nearest power plant (km),True,,True,True,,"generation, grid",,,,,,Proximity to generation sites as part of supply and grid context.
supply-accessibility-to-cities,Accessibility to Cities,Infrastructure,Supply,Travel time to nearest city (minutes),True,,True,True,,"accessibility, roads, cities",,,,,,Travel time as a proxy for market access and logistics costs.
